dataset,column,semantic_type,pandas_dtype,unique_count,missing_count,missing_percent
palmer_penguins,species,categorical,str,3,0,0.0
palmer_penguins,island,categorical,str,3,0,0.0
palmer_penguins,bill_length_mm,numeric_continuous,float64,164,2,0.58
palmer_penguins,bill_depth_mm,numeric_continuous,float64,80,2,0.58
palmer_penguins,flipper_length_mm,numeric_continuous,float64,55,2,0.58
palmer_penguins,body_mass_g,numeric_continuous,float64,94,2,0.58
palmer_penguins,sex,categorical,str,2,11,3.2
palmer_penguins,year,temporal,int64,3,0,0.0
uci_bike_sharing_day,dteday,datetime,str,731,0,0.0
uci_bike_sharing_day,season,categorical,int64,4,0,0.0
uci_bike_sharing_day,yr,temporal,int64,2,0,0.0
uci_bike_sharing_day,mnth,temporal,int64,12,0,0.0
uci_bike_sharing_day,holiday,boolean,int64,2,0,0.0
uci_bike_sharing_day,weekday,categorical,int64,7,0,0.0
uci_bike_sharing_day,workingday,boolean,int64,2,0,0.0
uci_bike_sharing_day,weathersit,categorical,int64,3,0,0.0
uci_bike_sharing_day,temp,numeric_continuous,float64,499,0,0.0
uci_bike_sharing_day,atemp,numeric_continuous,float64,690,0,0.0
uci_bike_sharing_day,hum,numeric_continuous,float64,595,0,0.0
uci_bike_sharing_day,windspeed,numeric_continuous,float64,650,0,0.0
uci_bike_sharing_day,cnt,numeric_continuous,int64,696,0,0.0
