dataset,column,semantic_type,pandas_dtype,unique_count,missing_count,missing_percent
palmer_penguins,species,categorical,str,3,0,0.0
palmer_penguins,island,categorical,str,3,0,0.0
palmer_penguins,bill_length_mm,numeric_continuous,float64,164,2,0.58
palmer_penguins,bill_depth_mm,numeric_continuous,float64,80,2,0.58
palmer_penguins,flipper_length_mm,numeric_continuous,float64,55,2,0.58
palmer_penguins,body_mass_g,numeric_continuous,float64,94,2,0.58
palmer_penguins,sex,categorical,str,2,11,3.2
palmer_penguins,year,temporal,int64,3,0,0.0
uci_bike_sharing_day,dteday,datetime,str,731,0,0.0
uci_bike_sharing_day,season,categorical,int64,4,0,0.0
uci_bike_sharing_day,yr,temporal,int64,2,0,0.0
uci_bike_sharing_day,mnth,temporal,int64,12,0,0.0
uci_bike_sharing_day,holiday,boolean,int64,2,0,0.0
uci_bike_sharing_day,weekday,categorical,int64,7,0,0.0
uci_bike_sharing_day,workingday,boolean,int64,2,0,0.0
uci_bike_sharing_day,weathersit,categorical,int64,3,0,0.0
uci_bike_sharing_day,temp,numeric_continuous,float64,499,0,0.0
uci_bike_sharing_day,atemp,numeric_continuous,float64,690,0,0.0
uci_bike_sharing_day,hum,numeric_continuous,float64,595,0,0.0
uci_bike_sharing_day,windspeed,numeric_continuous,float64,650,0,0.0
uci_bike_sharing_day,cnt,numeric_continuous,int64,696,0,0.0
titanic3,pclass,categorical,int64,3,0,0.0
titanic3,survived,boolean,int64,2,0,0.0
titanic3,sex,categorical,str,2,0,0.0
titanic3,age,numeric_continuous,float64,98,263,20.09
titanic3,sibsp,numeric_discrete,int64,7,0,0.0
titanic3,parch,numeric_discrete,int64,8,0,0.0
titanic3,fare,numeric_continuous,float64,281,1,0.08
titanic3,embarked,categorical,str,3,2,0.15
uci_bank_marketing,age,numeric_continuous,int64,77,0,0.0
uci_bank_marketing,job,categorical,str,12,0,0.0
uci_bank_marketing,marital,categorical,str,3,0,0.0
uci_bank_marketing,education,categorical,str,4,0,0.0
uci_bank_marketing,default,boolean,str,2,0,0.0
uci_bank_marketing,balance,numeric_continuous,int64,7168,0,0.0
uci_bank_marketing,housing,boolean,str,2,0,0.0
uci_bank_marketing,loan,boolean,str,2,0,0.0
uci_bank_marketing,contact,categorical,str,3,0,0.0
uci_bank_marketing,day,temporal,int64,31,0,0.0
uci_bank_marketing,month,categorical,str,12,0,0.0
uci_bank_marketing,campaign,numeric_continuous,int64,48,0,0.0
uci_bank_marketing,pdays,numeric_continuous,int64,559,0,0.0
uci_bank_marketing,previous,numeric_continuous,int64,41,0,0.0
uci_bank_marketing,poutcome,categorical,str,4,0,0.0
uci_bank_marketing,y,boolean,str,2,0,0.0
